index,PRODUCT_NAME,BRAND,CATEGORY,PRICE_CURRENT,DEDUCED_TYPE
268668,Freshness Guaranteed Garlic Bread,The Bakery,Fresh Food,2.48,http://dbpedia.org/resource/DJ_Fresh
268685,Wheat Sub Rolls,Freshness Guaranteed,Fresh Food,3.48,http://dbpedia.org/resource/DJ_Fresh
268702,Raspberry Bismarck Donuts,Freshness Guaranteed,Sweet Treats,1.46,http://dbpedia.org/resource/The_Sweet
268719,Apple Cinnamon Honey Buns,Great Value,Sweet Treats,3.68,http://dbpedia.org/resource/The_Sweet
268736,Gala Apples,PRODUCE UNBRANDED,Fresh Food,0.84,http://dbpedia.org/resource/DJ_Fresh
268753,Star Fruit,PRODUCE UNBRANDED,Fresh Food,1.98,http://dbpedia.org/resource/DJ_Fresh
268770,Large Bagged Avocados,PRODUCE UNBRANDED,Fresh Food,3.98,http://dbpedia.org/resource/DJ_Fresh
268787,Marbled Chocolate Brioche Bread,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
268804,Hawaiian Dinner Rolls,Freshness Guaranteed,Fresh Food,3.24,http://dbpedia.org/resource/DJ_Fresh
268821,Guacamole,Freshness Guaranteed,Fresh Food,3.14,http://dbpedia.org/resource/DJ_Fresh
268838,Soft'ees Plain Donuts,Entenmann's,Sweet Treats,4.82,http://dbpedia.org/resource/The_Sweet
268855,Organic Bananas,Marketside,Fresh Food,1.63,http://dbpedia.org/resource/DJ_Fresh
268872,Navel Oranges,PRODUCE UNBRANDED,Fresh Food,0.84,http://dbpedia.org/resource/DJ_Fresh
268889,Mini Donuts,Great Value,Muffins & Pastries,3.5,http://dbpedia.org/resource/Muffin
268906,Brioche Slider Rolls,Marketside,Fresh Food,4.48,http://dbpedia.org/resource/DJ_Fresh
268923,Freshness Guaranteed French Steak Rolls,The Bakery,Fresh Food,4.68,http://dbpedia.org/resource/DJ_Fresh
268940,Bartlett Pears,PRODUCE UNBRANDED,Fresh Food,1.48,http://dbpedia.org/resource/DJ_Fresh
268957,Pink Lady Apples,PRODUCE UNBRANDED,Fresh Food,6.18,http://dbpedia.org/resource/DJ_Fresh
268974,Pink Lady Apple,PRODUCE UNBRANDED,Fresh Food,1.11,http://dbpedia.org/resource/DJ_Fresh
268991,Wheat Bolillos,Freshness Guaranteed,Fresh Food,2.42,http://dbpedia.org/resource/DJ_Fresh
